icmp_seq;ttl;time [ms]
64;1;4.55
64;2;0.178
64;3;0.033
64;4;0.037
64;5;0.033
64;6;0.029
64;7;0.030
64;8;0.036
64;9;0.029
64;10;0.030
64;11;0.025
64;12;0.029
64;13;0.031
64;14;0.023
64;15;0.026
64;16;0.032
64;17;0.024
64;18;0.066
64;19;0.028
64;20;0.036
64;21;0.038
64;22;0.034
64;23;0.033
64;24;0.040
64;25;0.029
64;26;0.030
64;27;0.026
64;28;0.027
64;29;0.032
64;30;0.024
64;31;0.028
64;32;0.032
64;33;0.023
64;34;0.029
64;35;0.035
64;36;0.037
64;37;0.031
64;38;0.038
64;39;0.027
64;40;0.026
64;41;0.026
64;42;0.025
64;43;0.034
64;44;0.032
64;45;0.025
64;46;0.025
64;47;0.032
64;48;0.030
64;49;0.027
64;50;0.030
