Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;13.0;109
1.0-2.0;13.2;111
2.0-3.0;13.6;114
3.0-4.0;10.6;89.1
4.0-5.0;11.2;94.4
5.0-6.0;11.1;93.3
6.0-7.0;11.2;94.4
7.0-8.0;11.1;93.3
8.0-9.0;11.2;94.4
9.0-10.0;11.1;93.3
10.0-11.0;11.1;93.3
11.0-12.0;11.2;94.4
12.0-13.0;11.1;93.3
13.0-14.0;11.2;94.4
14.0-15.0;11.1;93.3
15.0-16.0;11.2;94.4
16.0-17.0;8.38;70.3
17.0-18.0;11.1;93.3
18.0-19.0;11.2;94.4
19.0-20.0;11.1;93.3
20.0-21.0;11.2;94.4
21.0-22.0;11.1;93.3
22.0-23.0;11.2;94.4
23.0-24.0;11.1;93.3
24.0-25.0;11.2;94.4
25.0-26.0;11.1;93.3
26.0-27.0;11.2;94.4
27.0-28.0;11.2;94.4
28.0-29.0;11.1;93.3
29.0-30.0;11.2;94.4
30.0-31.0;11.1;93.3
31.0-32.0;11.2;94.4
32.0-33.0;11.2;94.4
33.0-34.0;8.38;70.3
34.0-35.0;11.1;93.3
35.0-36.0;11.2;94.4
36.0-37.0;11.1;93.3
37.0-38.0;11.2;94.4
38.0-39.0;11.1;93.3
39.0-40.0;11.2;94.4
40.0-41.0;11.1;93.3
41.0-42.0;11.2;94.4
42.0-43.0;11.4;95.4
43.0-44.0;11.1;93.3
44.0-45.0;11.2;94.4
45.0-46.0;11.1;93.3
46.0-47.0;11.2;94.4
47.0-48.0;11.2;94.4
48.0-49.0;8.38;70.3
49.0-50.0;11.1;93.3
