icmp_seq;ttl;time [ms]
64;1;6.44
64;2;0.180
64;3;0.101
64;4;0.029
64;5;0.033
64;6;0.041
64;7;0.030
64;8;0.037
64;9;0.043
64;10;0.035
64;11;0.033
64;12;0.039
64;13;0.032
64;14;0.050
64;15;0.039
64;16;0.032
64;17;0.036
64;18;0.031
64;19;0.037
64;20;0.076
64;21;0.030
64;22;0.029
64;23;0.031
64;24;0.024
64;25;0.031
64;26;0.028
64;27;0.027
64;28;0.026
64;29;0.031
64;30;0.036
64;31;0.032
64;32;0.030
64;33;0.029
64;34;0.038
64;35;0.031
64;36;0.121
64;37;0.050
64;38;0.032
64;39;0.029
64;40;0.031
64;41;0.033
64;42;0.030
64;43;0.030
64;44;0.030
64;45;0.026
64;46;0.038
64;47;0.032
64;48;0.046
64;49;0.030
64;50;0.040
