Interval [sec];Transfer [GBytes];Bandwidth [Mbits/sec]
0.0-1.0;12.2;103
1.0-2.0;11.1;93.3
2.0-3.0;11.5;96.5
3.0-4.0;11.5;96.5
4.0-5.0;11.1;93.3
5.0-6.0;11.8;98.6
6.0-7.0;11.1;93.3
7.0-8.0;11.6;97.5
8.0-9.0;11.5;96.5
9.0-10.0;11.2;94.4
10.0-11.0;11.5;96.5
11.0-12.0;11.2;94.4
12.0-13.0;11.5;96.5
13.0-14.0;11.2;94.4
14.0-15.0;11.5;96.5
15.0-16.0;11.6;97.5
16.0-17.0;11.1;93.3
17.0-18.0;11.6;97.5
18.0-19.0;11.1;93.3
19.0-20.0;11.6;97.5
20.0-21.0;11.1;93.3
21.0-22.0;11.5;96.5
22.0-23.0;11.6;97.5
23.0-24.0;11.1;93.3
24.0-25.0;11.6;97.5
25.0-26.0;11.1;93.3
26.0-27.0;11.6;97.5
27.0-28.0;11.5;96.5
28.0-29.0;11.2;94.4
29.0-30.0;11.5;96.5
30.0-31.0;11.2;94.4
31.0-32.0;11.5;96.5
32.0-33.0;11.2;94.4
33.0-34.0;11.5;96.5
34.0-35.0;11.6;97.5
35.0-36.0;11.1;93.3
36.0-37.0;11.6;97.5
37.0-38.0;11.1;93.3
38.0-39.0;11.6;97.5
39.0-40.0;11.1;93.3
40.0-41.0;11.5;96.5
41.0-42.0;11.6;97.5
42.0-43.0;11.1;93.3
43.0-44.0;11.6;97.5
44.0-45.0;11.1;93.3
45.0-46.0;11.6;97.5
46.0-47.0;11.5;96.5
47.0-48.0;11.2;94.4
48.0-49.0;11.5;96.5
49.0-50.0;11.2;94.4
