interval;transfer;BW
0.0-1.0;12.1;102
1.0-2.0;11.4;95.4
2.0-3.0;11.2;94.4
3.0-4.0;11.4;95.4
4.0-5.0;11.5;96.5
5.0-6.0;11.4;95.4
6.0-7.0;11.5;96.5
7.0-8.0;11.4;95.4
8.0-9.0;11.5;96.5
9.0-10.0;11.4;95.4
10.0-11.0;11.2;94.4
11.0-12.0;11.4;95.4
12.0-13.0;11.5;96.5
13.0-14.0;11.4;95.4
14.0-15.0;11.8;98.6
15.0-16.0;11.5;96.5
16.0-17.0;11.1;93.3
17.0-18.0;11.6;97.5
18.0-19.0;11.1;93.3
19.0-20.0;11.6;97.5
20.0-21.0;11.1;93.3
21.0-22.0;11.6;97.5
22.0-23.0;11.5;96.5
23.0-24.0;11.2;94.4
24.0-25.0;11.5;96.5
25.0-26.0;11.2;94.4
26.0-27.0;11.5;96.5
27.0-28.0;11.6;97.5
28.0-29.0;11.1;93.3
29.0-30.0;11.6;97.5
30.0-31.0;11.1;93.3
31.0-32.0;11.6;97.5
32.0-33.0;12.0;101
33.0-34.0;11.1;93.3
34.0-35.0;11.1;93.3
35.0-36.0;11.8;98.6
36.0-37.0;11.2;94.4
37.0-38.0;11.1;93.3
38.0-39.0;11.8;98.6
39.0-40.0;11.2;94.4
40.0-41.0;11.8;98.6
41.0-42.0;11.1;93.3
42.0-43.0;11.2;94.4
43.0-44.0;11.8;98.6
44.0-45.0;11.1;93.3
45.0-46.0;11.8;98.6
46.0-47.0;11.2;94.4
47.0-48.0;11.1;93.3
48.0-49.0;11.8;98.6
49.0-50.0;11.2;94.4
50.0-51.0;11.8;98.6
51.0-52.0;11.1;93.3
52.0-53.0;11.2;94.4
53.0-54.0;11.6;97.5
54.0-55.0;11.2;94.4
55.0-56.0;11.1;93.3
56.0-57.0;11.8;98.6
57.0-58.0;11.2;94.4
58.0-59.0;11.8;98.6
59.0-60.0;11.1;93.3
60.0-61.0;11.2;94.4
61.0-62.0;11.8;98.6
62.0-63.0;11.1;93.3
63.0-64.0;11.8;98.6
64.0-65.0;11.2;94.4
65.0-66.0;11.1;93.3
66.0-67.0;11.8;98.6
67.0-68.0;11.2;94.4
68.0-69.0;11.1;93.3
69.0-70.0;11.8;98.6
70.0-71.0;11.2;94.4
71.0-72.0;11.6;97.5
72.0-73.0;11.2;94.4
