# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000        3.973       27.688
       1.002        0.000        3.973       27.688
       2.004        0.000        3.973       27.688
       3.006        0.000        3.973       27.688
       4.008        0.000        3.973       27.688
       5.009        0.000        3.973       27.688
       6.011        0.000        3.973       27.688
       7.013        0.000        3.973       27.688
       8.014        0.000        3.973       27.688
       9.015        0.000        3.973       27.688
      10.017        0.000        3.973       27.688
      11.018        0.000        3.973       27.688
      12.020        0.000        3.973       27.688
